Time,Data,Average,SD
 11:21:16   ,308.0,304.6,5.14
 11:21:19   ,312.0,304.2,5.62
 11:21:22   ,318.0,304.9,6.69
 11:21:25   ,332.0,307.2,10.02
 11:21:28   ,332.0,309.0,10.18
 11:21:31   ,335.0,312.7,12.06
 11:21:34   ,333.0,314.5,13.07
 11:21:37   ,327.0,316.8,13.48
 11:21:40   ,330.0,319.5,14.2
 11:21:43   ,339.0,323.6,12.55
 11:21:46   ,331.0,325.8,9.1
 11:21:49   ,330.0,328.8,7.65
 11:21:52   ,332.0,330.9,5.22
 11:21:55   ,335.0,332.4,3.17
 11:22:00   ,318.0,330.7,5.22
 11:22:03   ,314.0,330.6,6.37
 11:22:06   ,308.0,328.3,8.53
 11:22:09   ,296.0,325.2,12.02
 11:22:12   ,304.0,324.1,11.5
 11:22:15   ,300.0,320.3,14.53
 11:22:18   ,294.0,316.2,14.62
 11:22:21   ,301.0,313.8,13.64
 11:22:24   ,297.0,309.8,13.96
 11:22:27   ,290.0,306.0,12.72
 11:22:30   ,292.0,302.4,8.18
 11:22:33   ,292.0,299.6,7.07
 11:22:36   ,287.0,296.9,6.16
 11:22:39   ,295.0,296.1,4.23
 11:22:42   ,288.0,294.5,5.48
 11:22:45   ,292.0,294.0,4.15
 11:22:48   ,302.0,293.8,4.81
 11:22:51   ,301.0,293.5,4.67
 11:22:54   ,290.0,292.5,4.25
 11:22:57   ,294.0,293.3,4.71
 11:23:00   ,298.0,293.7,4.92
 11:23:03   ,290.0,293.1,4.81
 11:23:06   ,296.0,294.3,4.88
 11:23:09   ,291.0,294.1,4.59
 11:23:12   ,306.0,295.7,5.66
 11:23:15   ,298.0,295.2,4.24
 11:23:18   ,293.0,296.1,5.24
 11:23:21   ,290.0,295.4,5.16
 11:23:24   ,289.0,294.5,4.94
 11:23:27   ,303.0,295.9,5.17
 11:23:30   ,300.0,295.1,5.2
 11:23:33   ,303.0,295.9,5.97
 11:23:36   ,302.0,296.8,5.64
 11:23:39   ,296.0,296.9,5.73
 11:23:42   ,296.0,298.0,5.55
